product_name,macro_group,group_label,likes_rating,likes_n_reviews,likes_pct_positive,likes_pct_negative,avg_overall_rating,dislikes_rating,dislikes_n_reviews,dislikes_pct_positive,dislikes_pct_negative,net_rating,sentiment_gap
Acumatica,multi_entity_currency,,,,,,,4.16,1,100.0,0.0,3.58,1.16
Acumatica,implementation_complexity,,,,,,,3.02,44,47.7,50.0,3.01,0.02
Acumatica,sales_order_management,,,,,,,2.8,1,0.0,0.0,2.9,-0.2
Acumatica,accounts_payable_invoice_processing,,,,,,,2.66,6,16.7,50.0,2.83,-0.34
Acumatica,specialized_modules,,,,,,,2.66,13,30.8,53.8,2.83,-0.34
Acumatica,financial_accounting_core,,,,,,,2.54,9,0.0,44.4,2.77,-0.46
Acumatica,banking_cash_management,,,,,,,2.53,2,0.0,50.0,2.76,-0.47
Acumatica,user_interface_navigation,,,,,,,2.31,5,40.0,60.0,2.66,-0.69
Acumatica,customer_support_service,,,,,,,2.3,5,20.0,80.0,2.65,-0.7
Acumatica,financial_reporting_analytics,,,,,,,2.28,13,0.0,53.8,2.64,-0.72
Acumatica,customization_integration,,,,,,,2.02,16,18.8,75.0,2.51,-0.98
Acumatica,system_access_security,,,,,,,1.93,1,0.0,100.0,2.46,-1.07
Acumatica,mobile_remote_access,,,,,,,1.9,1,0.0,100.0,2.45,-1.1
Acumatica,user_training_learning,,,,,,,1.35,3,0.0,100.0,2.17,-1.65
Acumatica,system_performance_reliability,,,,,,,1.16,2,0.0,100.0,2.08,-1.84
Certinia,customization_integration,,,,,,,4.01,2,50.0,0.0,3.5,1.01
Certinia,sales_order_management,,,,,,,3.97,1,0.0,0.0,3.49,0.97
Certinia,user_training_learning,,,,,,,3.76,2,50.0,50.0,3.38,0.76
Certinia,system_performance_reliability,,,,,,,3.53,2,50.0,50.0,3.26,0.53
Certinia,financial_accounting_core,,,,,,,2.62,5,0.0,20.0,2.81,-0.38
Certinia,specialized_modules,,,,,,,2.6,1,100.0,0.0,2.8,-0.4
Certinia,customer_support_service,,,,,,,2.51,3,33.3,66.7,2.76,-0.49
Certinia,implementation_complexity,,,,,,,1.63,5,0.0,100.0,2.32,-1.37
Certinia,financial_reporting_analytics,,,,,,,1.56,4,0.0,100.0,2.28,-1.44
Intuit Enterprise Suite,system_performance_reliability,,,,,,,4.45,1,100.0,0.0,3.72,1.45
Intuit Enterprise Suite,sales_order_management,,,,,,,4.02,1,100.0,0.0,3.51,1.02
Intuit Enterprise Suite,financial_reporting_analytics,,,,,,,3.53,1,0.0,0.0,3.26,0.53
Intuit Enterprise Suite,customer_support_service,,,,,,,1.46,1,0.0,100.0,2.23,-1.54
Intuit Enterprise Suite,specialized_modules,,,,,,,1.35,1,0.0,100.0,2.17,-1.65
Microsoft Dynamics 365,financial_accounting_core,,,,,,,2.93,3,0.0,0.0,2.96,-0.07
Microsoft Dynamics 365,customer_support_service,,,,,,,2.79,2,50.0,50.0,2.9,-0.21
Microsoft Dynamics 365,accounts_payable_invoice_processing,,,,,,,2.56,5,40.0,60.0,2.78,-0.44
Microsoft Dynamics 365,crm_customer_management,,,,,,,2.56,9,0.0,11.1,2.78,-0.44
Microsoft Dynamics 365,user_interface_navigation,,,,,,,2.47,2,50.0,50.0,2.74,-0.53
Microsoft Dynamics 365,mobile_remote_access,,,,,,,2.35,1,0.0,0.0,2.68,-0.65
Microsoft Dynamics 365,user_training_learning,,,,,,,2.31,6,33.3,66.7,2.66,-0.69
Microsoft Dynamics 365,implementation_complexity,,,,,,,2.21,11,18.2,81.8,2.6,-0.79
Microsoft Dynamics 365,specialized_modules,,,,,,,2.15,4,0.0,50.0,2.58,-0.85
Microsoft Dynamics 365,system_performance_reliability,,,,,,,1.99,1,0.0,100.0,2.5,-1.01
Microsoft Dynamics 365,financial_reporting_analytics,,,,,,,1.46,1,0.0,100.0,2.23,-1.54
Microsoft Dynamics 365,customization_integration,,,,,,,1.39,10,10.0,90.0,2.19,-1.61
Oracle NetSuite,sales_order_management,,,,,,,3.62,14,21.4,0.0,3.31,0.62
Oracle NetSuite,crm_customer_management,,,,,,,2.84,1,0.0,0.0,2.92,-0.16
Oracle NetSuite,financial_accounting_core,,,,,,,2.59,34,0.0,32.4,2.8,-0.41
Oracle NetSuite,accounts_payable_invoice_processing,,,,,,,2.49,31,12.9,48.4,2.74,-0.51
Oracle NetSuite,banking_cash_management,,,,,,,2.47,9,0.0,33.3,2.74,-0.53
Oracle NetSuite,implementation_complexity,,,,,,,2.47,192,30.2,67.7,2.74,-0.53
Oracle NetSuite,financial_reporting_analytics,,,,,,,2.43,87,11.5,43.7,2.72,-0.57
Oracle NetSuite,specialized_modules,,,,,,,2.31,24,8.3,62.5,2.66,-0.69
Oracle NetSuite,multi_entity_currency,,,,,,,2.22,12,16.7,58.3,2.61,-0.78
Oracle NetSuite,mobile_remote_access,,,,,,,2.17,2,0.0,50.0,2.58,-0.83
Oracle NetSuite,system_performance_reliability,,,,,,,2.0,27,11.1,85.2,2.5,-1.0
Oracle NetSuite,system_access_security,,,,,,,1.95,6,0.0,66.7,2.48,-1.05
Oracle NetSuite,customer_support_service,,,,,,,1.92,72,12.5,87.5,2.46,-1.08
Oracle NetSuite,user_interface_navigation,,,,,,,1.76,31,6.5,71.0,2.38,-1.24
Oracle NetSuite,user_training_learning,,,,,,,1.71,31,9.7,83.9,2.36,-1.29
Oracle NetSuite,customization_integration,,,,,,,1.7,37,5.4,89.2,2.35,-1.3
QuickBooks Desktop Pro,financial_accounting_core,,,,,,,2.85,4,0.0,25.0,2.92,-0.15
QuickBooks Desktop Pro,accounts_payable_invoice_processing,,,,,,,2.31,1,0.0,0.0,2.66,-0.69
QuickBooks Desktop Pro,mobile_remote_access,,,,,,,2.18,2,50.0,50.0,2.59,-0.82
QuickBooks Desktop Pro,banking_cash_management,,,,,,,2.13,1,0.0,0.0,2.56,-0.87
QuickBooks Desktop Pro,customer_support_service,,,,,,,1.98,1,0.0,100.0,2.49,-1.02
QuickBooks Desktop Pro,user_interface_navigation,,,,,,,1.19,1,0.0,100.0,2.09,-1.81
QuickBooks Enterprise,specialized_modules,,,,,,,3.48,2,50.0,0.0,3.24,0.48
QuickBooks Enterprise,financial_accounting_core,,,,,,,2.95,16,6.2,6.2,2.98,-0.05
QuickBooks Enterprise,customer_support_service,,,,,,,2.44,4,25.0,75.0,2.72,-0.56
QuickBooks Enterprise,multi_entity_currency,,,,,,,2.21,3,0.0,33.3,2.6,-0.79
QuickBooks Enterprise,accounts_payable_invoice_processing,,,,,,,2.08,5,0.0,40.0,2.54,-0.92
QuickBooks Enterprise,system_access_security,,,,,,,2.05,3,33.3,66.7,2.52,-0.95
QuickBooks Enterprise,user_interface_navigation,,,,,,,1.86,5,20.0,80.0,2.43,-1.14
QuickBooks Enterprise,financial_reporting_analytics,,,,,,,1.65,2,0.0,100.0,2.33,-1.35
QuickBooks Enterprise,system_performance_reliability,,,,,,,1.23,3,0.0,100.0,2.12,-1.77
QuickBooks Enterprise,implementation_complexity,,,,,,,1.2,5,0.0,100.0,2.1,-1.8
QuickBooks Enterprise,mobile_remote_access,,,,,,,1.06,1,0.0,100.0,2.03,-1.94
QuickBooks Enterprise,banking_cash_management,,,,,,,1.03,1,0.0,100.0,2.02,-1.97
QuickBooks Enterprise,customization_integration,,,,,,,1.03,2,0.0,100.0,2.02,-1.97
QuickBooks Online,specialized_modules,,,,,,,3.0,5,60.0,40.0,3.0,0.0
QuickBooks Online,system_performance_reliability,,,,,,,2.98,9,55.6,44.4,2.99,-0.02
QuickBooks Online,financial_accounting_core,,,,,,,2.87,51,7.8,11.8,2.94,-0.13
QuickBooks Online,accounts_payable_invoice_processing,,,,,,,2.4,8,12.5,37.5,2.7,-0.6
QuickBooks Online,customer_support_service,,,,,,,2.35,26,26.9,73.1,2.68,-0.65
QuickBooks Online,financial_reporting_analytics,,,,,,,2.27,7,0.0,57.1,2.64,-0.73
QuickBooks Online,banking_cash_management,,,,,,,2.16,4,0.0,50.0,2.58,-0.84
QuickBooks Online,user_training_learning,,,,,,,2.1,6,0.0,66.7,2.55,-0.9
QuickBooks Online,mobile_remote_access,,,,,,,2.05,2,0.0,100.0,2.52,-0.95
QuickBooks Online,customization_integration,,,,,,,1.77,2,0.0,100.0,2.38,-1.23
QuickBooks Online,implementation_complexity,,,,,,,1.64,8,0.0,100.0,2.32,-1.36
QuickBooks Online,user_interface_navigation,,,,,,,1.52,3,0.0,100.0,2.26,-1.48
QuickBooks Online,multi_entity_currency,,,,,,,1.38,2,0.0,100.0,2.19,-1.62
QuickBooks Online,system_access_security,,,,,,,1.19,1,0.0,100.0,2.09,-1.81
SAP S/4HANA Cloud,financial_accounting_core,,,,,,,2.88,1,0.0,0.0,2.94,-0.12
SAP S/4HANA Cloud,financial_reporting_analytics,,,,,,,2.78,1,0.0,0.0,2.89,-0.22
SAP S/4HANA Cloud,multi_entity_currency,,,,,,,2.75,1,0.0,0.0,2.88,-0.25
SAP S/4HANA Cloud,user_interface_navigation,,,,,,,2.67,3,0.0,0.0,2.84,-0.33
SAP S/4HANA Cloud,system_access_security,,,,,,,2.45,2,0.0,50.0,2.72,-0.55
SAP S/4HANA Cloud,implementation_complexity,,,,,,,2.41,41,34.1,63.4,2.7,-0.59
SAP S/4HANA Cloud,customer_support_service,,,,,,,2.38,2,0.0,50.0,2.69,-0.62
SAP S/4HANA Cloud,specialized_modules,,,,,,,2.08,1,0.0,100.0,2.54,-0.92
SAP S/4HANA Cloud,user_training_learning,,,,,,,1.99,2,0.0,100.0,2.5,-1.01
SAP S/4HANA Cloud,accounts_payable_invoice_processing,,,,,,,1.92,3,0.0,66.7,2.46,-1.08
SAP S/4HANA Cloud,system_performance_reliability,,,,,,,1.7,5,0.0,100.0,2.35,-1.3
SAP S/4HANA Cloud,customization_integration,,,,,,,1.24,7,0.0,100.0,2.12,-1.76
Sage Intacct,sales_order_management,,,,,,,4.47,3,100.0,0.0,3.74,1.47
Sage Intacct,mobile_remote_access,,,,,,,2.96,1,100.0,0.0,2.98,-0.04
Sage Intacct,financial_accounting_core,,,,,,,2.81,59,13.6,18.6,2.9,-0.19
Sage Intacct,financial_reporting_analytics,,,,,,,2.58,73,9.6,32.9,2.79,-0.42
Sage Intacct,implementation_complexity,,,,,,,2.5,13,30.8,69.2,2.75,-0.5
Sage Intacct,system_performance_reliability,,,,,,,2.46,18,27.8,66.7,2.73,-0.54
Sage Intacct,accounts_payable_invoice_processing,,,,,,,2.38,75,5.3,37.3,2.69,-0.62
Sage Intacct,specialized_modules,,,,,,,2.38,21,4.8,85.7,2.69,-0.62
Sage Intacct,multi_entity_currency,,,,,,,2.14,14,7.1,64.3,2.57,-0.86
Sage Intacct,system_access_security,,,,,,,2.14,9,0.0,44.4,2.57,-0.86
Sage Intacct,customer_support_service,,,,,,,2.08,29,10.3,82.8,2.54,-0.92
Sage Intacct,banking_cash_management,,,,,,,2.06,15,6.7,60.0,2.53,-0.94
Sage Intacct,user_training_learning,,,,,,,2.03,127,13.4,84.3,2.51,-0.97
Sage Intacct,user_interface_navigation,,,,,,,1.89,37,2.7,70.3,2.44,-1.11
Sage Intacct,customization_integration,,,,,,,1.64,15,13.3,86.7,2.32,-1.36
Workday Financial Management,sales_order_management,,,,,,,4.95,1,100.0,0.0,3.98,1.95
Workday Financial Management,system_performance_reliability,,,,,,,2.98,2,100.0,0.0,2.99,-0.02
Workday Financial Management,financial_reporting_analytics,,,,,,,2.95,4,0.0,25.0,2.98,-0.05
Workday Financial Management,financial_accounting_core,,,,,,,2.91,6,16.7,0.0,2.96,-0.09
Workday Financial Management,system_access_security,,,,,,,2.54,1,0.0,0.0,2.77,-0.46
Workday Financial Management,customer_support_service,,,,,,,2.02,3,0.0,100.0,2.51,-0.98
Workday Financial Management,user_interface_navigation,,,,,,,1.66,2,0.0,100.0,2.33,-1.34
Workday Financial Management,implementation_complexity,,,,,,,1.47,2,0.0,100.0,2.24,-1.53
Workday Financial Management,accounts_payable_invoice_processing,,,,,,,1.39,2,0.0,100.0,2.19,-1.61
Workday Financial Management,multi_entity_currency,,,,,,,1.06,1,0.0,100.0,2.03,-1.94
Workday Financial Management,customization_integration,,,,,,,1.02,1,0.0,100.0,2.01,-1.98
Xero,sales_order_management,,,,,,,3.24,4,0.0,0.0,3.12,0.24
Xero,financial_accounting_core,,,,,,,2.9,28,10.7,17.9,2.95,-0.1
Xero,customer_support_service,,,,,,,2.83,17,35.3,58.8,2.92,-0.17
Xero,banking_cash_management,,,,,,,2.74,62,4.8,19.4,2.87,-0.26
Xero,specialized_modules,,,,,,,2.64,11,18.2,54.5,2.82,-0.36
Xero,mobile_remote_access,,,,,,,2.58,2,0.0,50.0,2.79,-0.42
Xero,system_performance_reliability,,,,,,,2.58,6,33.3,66.7,2.79,-0.42
Xero,implementation_complexity,,,,,,,2.5,2,50.0,50.0,2.75,-0.5
Xero,system_access_security,,,,,,,2.38,3,0.0,33.3,2.69,-0.62
Xero,accounts_payable_invoice_processing,,,,,,,2.3,25,0.0,36.0,2.65,-0.7
Xero,financial_reporting_analytics,,,,,,,2.24,14,7.1,64.3,2.62,-0.76
Xero,crm_customer_management,,,,,,,2.02,1,0.0,100.0,2.51,-0.98
Xero,multi_entity_currency,,,,,,,1.95,2,0.0,50.0,2.48,-1.05
Xero,user_interface_navigation,,,,,,,1.61,8,0.0,75.0,2.31,-1.39
Xero,customization_integration,,,,,,,1.56,8,12.5,87.5,2.28,-1.44
Xero,user_training_learning,,,,,,,1.27,2,0.0,100.0,2.13,-1.73
